｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |logger_config:setup_logger:46 | 日志系统初始化完成 - 级别：DEBUG
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |__main__:main:17 | 爬虫运行环境环境:development
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |__main__:main:18 | 调试模式：True
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |__main__:main:19 | 目标页数：6
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:run:21 | 开始爬取任务-目标：前6页
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |client:start:32 | HTTP客户端已启动
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_get_previous_page_number:30 | 获取分页信息。。。
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |client:get:52 | GET请求：https://www.guwendao.net/mingjus/
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |client:get:57 | 请求成功：https://www.guwendao.net/mingjus/[200]
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |parser:parse_previous_page:25 | 解析到下一页分页号：2
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_get_previous_page_number:36 | 当前页码：1
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:41 | 开始爬取名句列表
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:49 | 爬取第1页
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |client:get:52 | GET请求：https://www.guwendao.net/mingjus/default.aspx?page=1&tstr=&astr=&cstr=&xstr=
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |client:get:57 | 请求成功：https://www.guwendao.net/mingjus/default.aspx?page=1&tstr=&astr=&cstr=&xstr=[200]
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |parser:parse_note_list:62 | 解析到50个句子
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:55 | 第1页获取50个名句
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:49 | 爬取第2页
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |client:get:52 | GET请求：https://www.guwendao.net/mingjus/default.aspx?page=2&tstr=&astr=&cstr=&xstr=
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |client:get:57 | 请求成功：https://www.guwendao.net/mingjus/default.aspx?page=2&tstr=&astr=&cstr=&xstr=[200]
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |parser:parse_note_list:62 | 解析到50个句子
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:55 | 第2页获取50个名句
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:49 | 爬取第3页
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |client:get:52 | GET请求：https://www.guwendao.net/mingjus/default.aspx?page=3&tstr=&astr=&cstr=&xstr=
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |client:get:57 | 请求成功：https://www.guwendao.net/mingjus/default.aspx?page=3&tstr=&astr=&cstr=&xstr=[200]
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |parser:parse_note_list:62 | 解析到50个句子
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:55 | 第3页获取50个名句
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:49 | 爬取第4页
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |client:get:52 | GET请求：https://www.guwendao.net/mingjus/default.aspx?page=4&tstr=&astr=&cstr=&xstr=
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |client:get:57 | 请求成功：https://www.guwendao.net/mingjus/default.aspx?page=4&tstr=&astr=&cstr=&xstr=[200]
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |parser:parse_note_list:62 | 解析到50个句子
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:55 | 第4页获取50个名句
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |crawler:_crawler_item_list:62 | 名句爬取完成，共200个帖子
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |client:close:38 | HTTP客户端已关闭
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |__main__:main:36 | 结果已保存到：./output/crawler_result.json
｛time:YYYY-MM-DD HH:mm:ss｝ | DEBUG   |crawler:cleanup:71 | 执行清理
｛time:YYYY-MM-DD HH:mm:ss｝ | INFO    |__main__:main:48 | 爬虫运行结束
